"Character"|"Gender"|"Role"
"Adrien"|"male"|""
"Akuma"|"genderless"|"villain"
"Alec"|"male"|""
"Alix"|"female"|""
"Alya"|"female"|""
"Amelie"|"female"|""
"Anansi"|"female"|"villain"
"Anarka"|"female"|""
"André"|"male"|""
"Animaestro"|"male"|"villain"
"Animan"|"male"|"villain"
"Announcer"|"male"|""
"Antibug"|"female"|"villain"
"Aquabug"|"female"|""
"Arlette"|"female"|""
"Armand"|"male"|""
"Aspik"|"male"|""
"Audrey"|"female"|""
"August's mother"|"female"|""
"Backwarder"|"male"|"villain"
"Bakerix"|"male"|"villain"
"Barkk"|"genderless"|"kwami"
"Bear kwami"|"genderless"|"kwami"
"Beaver kwami"|"genderless"|"kwami"
"Befana"|"female"|"villain"
"Bob"|"male"|""
"Bubbler"|"male"|"villain"
"Buffalo kwami"|"genderless"|"kwami"
"Bunnyx"|"female"|""
"Bus driver"|"male"|""
"Captain Hardrock"|"male"|"villain"
"Carapace"|"male"|""
"Cat Blanc"|"male"|"villain"
"Cat Noir"|"male"|""
"Cat Walker"|"male"|""
"Catalyst"|"female"|"villain"
"Chameleon"|"female"|"villain"
"Chloé"|"female"|""
"Chris"|"male"|""
"Christmaster"|"male"|"villain"
"Clara"|"female"|""
"Collector"|"male"|""
"Colonel Woof-Woof"|"male"|""
"Commercial voice and Marinette"|"genderless"|""
"Copycat"|"male"|"villain"
"Daizzi"|"genderless"|"kwami"
"Dark Cupid"|"male"|"villain"
"Dark Owl"|"male"|"villain"
"Darkblade"|"male"|"villain"
"Deer kwami"|"genderless"|"kwami"
"Despair Bear"|"male"|"villain"
"Desperada"|"female"|"villain"
"Didier Roustan"|"male"|""
"Doorman"|"male"|""
"Dragon Bug"|"female"|""
"Duusu"|"genderless"|"kwami"
"Ella and Etta"|"genderless"|""
"Ephemeral"|"male"|"villain"
"Evillustrator"|"male"|""
"Evillustrator"|"male"|"villain"
"Falcon kwami"|"genderless"|"kwami"
"Feast"|"genderless"|"villain"
"Félix"|"male"|""
"Fireman"|"male"|""
"Flairmidable"|"male"|""
"Fluff"|"genderless"|"kwami"
"Frightningale"|"female"|"villain"
"Frozer"|"male"|"villain"
"Furious Fu"|"male"|"villain"
"Gabriel"|"male"|""
"Game Voice"|"male"|""
"Gamer"|"male"|"villain"
"Gamer 2.0"|"male"|"villain"
"Gigantitan"|"male"|"villain"
"Gina"|"female"|""
"Glaciator"|"male"|"villain"
"Goose kwami"|"genderless"|"kwami"
"Gorizilla"|"male"|"villain"
"Guitar Villain"|"male"|"villain"
"Harry"|"male"|""
"Hawk Moth"|"male"|"villain"
"Horrificator"|"female"|"villain"
"Ikari Gozen"|"female"|"villain"
"Ivan"|"male"|""
"Jagged"|"male"|""
"Jagged Stone"|"male"|""
"Jean"|"male"|""
"Jean-Pierre"|"male"|""
"Juleka"|"female"|""
"Kaalki"|"genderless"|"kwami"
"Kagami"|"female"|""
"Kim"|"male"|""
"King Monkey"|"male"|""
"Kung Food"|"male"|"villain"
"kwamibuster"|"male"|"villain"
"kwamis"|"genderless"|"kwami"
"Lady Noire"|"female"|""
"Lady Wifi"|"female"|"villain"
"Ladybug"|"female"|""
"Lies"|"female"|"villain"
"Liiri"|"genderless"|"kwami"
"Lila"|"female"|""
"Longg"|"genderless"|"kwami"
"Luka"|"male"|""
"Malediktator"|"male"|"villain"
"Manon"|"male"|""
"Marc"|"male"|""
"Marianne"|"female"|""
"Marinette"|"female"|""
"Marinette and Nino"|"genderless"|""
"Markov"|"male"|""
"Master Fu"|"male"|""
"Max"|"male"|""
"Mayor Bourgeois"|"male"|""
"Mayura"|"female"|""
"Mini-Malediktator"|"male"|""
"Miracle Queen"|"female"|"villain"
"Miraculer"|"female"|"villain"
"Miss Bustier"|"female"|""
"Mister Bug"|"male"|""
"Moolak"|"male"|"villain"
"Mr. Bourgeois"|"male"|""
"Mr. Damocles"|"male"|""
"Mr. Pigeon"|"male"|"villain"
"Mr. Ramier"|"male"|""
"Mrs. Tsurugi"|"female"|""
"Ms. Mendeleiev"|"female"|""
"Mullo"|"genderless"|"kwami"
"Multimouse"|"female"|""
"Mummies"|"genderless"|""
"Mylène"|"female"|""
"Nadja"|"female"|""
"Nathalie"|"female"|""
"Nathaniel"|"female"|""
"Nightmare Adrien"|"male"|""
"Nino"|"male"|""
"Nooroo"|"genderless"|"kwami"
"Oni-Сhan"|"female"|"villain"
"Orikko"|"genderless"|"kwami"
"Otter kwami"|"genderless"|"kwami"
"Owl kwami"|"genderless"|"kwami"
"Party Crasher"|"male"|"villain"
"Penalteam"|"genderless"|""
"Penalty"|"female"|"villain"
"Penalty 2"|"female"|""
"Penny"|"female"|""
"Pennybug"|"female"|""
"Pharaoh"|"male"|"villain"
"Philippe"|"male"|""
"Pixelator"|"male"|"villain"
"Plagg"|"genderless"|"kwami"
"Pollen"|"genderless"|"kwami"
"Prime Queen"|"female"|"villain"
"Princess Fragrance"|"female"|"villain"
"Psycomedian"|"male"|"villain"
"Puppeteer"|"female"|"villain"
"Qilin"|"female"|"villain"
"Queen Banana"|"female"|"villain"
"Queen Bee"|"female"|""
"Queen Wasp"|"female"|"villain"
"Raven kwami"|"genderless"|"kwami"
"Reflekta"|"female"|"villain"
"Rena Rouge"|"female"|"villain"
"Reverser"|"female"|"villain"
"Riposte"|"female"|"villain"
"Risk"|"male"|"villain"
