"Character"|"Frequency"
"Marinette"|79
"Ladybug"|68
"Cat Noir"|58
"Adrien"|39
"Alya"|26
"Chloé"|20
"Tikki"|17
"Plagg"|10
"Nino"|8
"Kagami"|7
"Luka"|6
"Gabriel"|5
"Hawk Moth"|5
"Lila"|5
"Jagged"|4
"Manon"|4
"Nathalie"|4
"Shadow Moth"|4
"Tom"|4
"Audrey"|3
"Bob"|3
"Juleka"|3
"Master Fu"|3
"Max"|3
"Rolland"|3
"Rose"|3
"Sabine"|3
"Alix"|2
"Anarka"|2
"André"|2
"Bunnyx"|2
"Félix"|2
"Gina"|2
"Ivan"|2
"Markov"|2
"Miss Bustier"|2
"Mylène"|2
"Nadja"|2
"Queen Bee"|2
"Rena Rouge"|2
"Robostus"|2
"Sabrina"|2
"Santa Claus"|2
"Su-Han"|2
"Vincent"|2
"Viperion"|2
"Zoé"|2
"Alec"|1
"Amelie"|1
"Anansi"|1
"Animan"|1
"Antibug"|1
"Aspik"|1
"Backwarder"|1
"Befana"|1
"Bubbler"|1
"Captain Hardrock"|1
"Carapace"|1
"Cat Blanc"|1
"Cat Walker"|1
"Chris"|1
"Clara"|1
"Collector"|1
"Copycat"|1
"Dark Owl"|1
"Didier Roustan"|1
"Doorman"|1
"Dragon Bug"|1
"Evillustrator"|1
"Flairmidable"|1
"Game Voice"|1
"Gamer"|1
"Gamer 2.0"|1
"Glaciator"|1
"Guitar Villain"|1
"Harry"|1
"Jean"|1
"Kung Food"|1
"Lady Noire"|1
"Lady Wifi"|1
"Malediktator"|1
"Marc"|1
"Mayor Bourgeois"|1
"Mayura"|1
"Miracle Queen"|1
"Miraculer"|1
"Mister Bug"|1
"Mr. Bourgeois"|1
"Mr. Damocles"|1
"Mr. Pigeon"|1
"Multimouse"|1
"Nathaniel"|1
"Nightmare Adrien"|1
"Oni-Chan"|1
"Penalteam"|1
"Penny"|1
"Philippe"|1
"Pixelator"|1
"Prime Queen"|1
"Princess Fragrance"|1
"Queen Wasp"|1
"Reflekta"|1
"Riposte"|1
"Risk"|1
"Roger"|1
"Rogercop"|1
"SandBoy"|1
"Santa Claus Claws"|1
"Scarabella"|1
"Scarlet Moth"|1
"Sentimonster Ladybug"|1
"Silencer"|1
"Simon Says"|1
"Sole Crusher"|1
"Startrain"|1
"Style Queen"|1
"The Pharaoh"|1
"Théo"|1
"Thomas"|1
"Ticket Inspector"|1
"Timebreaker"|1
"Timetagger"|1
"Tomoe"|1
"Vanisher"|1
"Volpina"|1
"Wang Cheng"|1
"Wang Fu"|1
"Wayhem"|1
"Wayzz"|1
"XY"|1
